#piLocal-008
#86
#321
#3210
#Grafica en tiempo real segunda prueba
Tiempo;Voltaje;Corriente;Temperatura;RPM
1509913723.4460428;140.0;419.0;449.0;16.0
1509913723.6825278;140.0;419.0;449.0;19.0
1509913723.9039426;141.0;419.0;450.0;22.0
1509913724.0755014;141.0;419.0;450.0;24.0
1509913724.2453141;141.0;419.0;450.0;27.0
1509913724.4441614;141.0;419.0;450.0;30.0
1509913724.6473126;141.0;419.0;450.0;-32.0
1509913724.8440342;141.0;419.0;450.0;-29.0
1509913725.0455635;141.0;263.0;450.0;-26.0
1509913725.2460237;141.0;263.0;450.0;-23.0
1509913725.447187;141.0;263.0;450.0;-20.0
1509913725.6463673;141.0;263.0;450.0;-18.0
1509913725.8464506;142.0;263.0;522.0;-15.0
1509913726.0629888;142.0;263.0;522.0;-12.0
1509913726.260483;142.0;263.0;522.0;-9.0
1509913726.4651313;142.0;263.0;522.0;-6.0
1509913726.6611948;142.0;-23.0;522.0;-3.0
1509913726.861803;142.0;-23.0;522.0;0.0
1509913727.0549695;142.0;-23.0;522.0;1.0
1509913727.2538757;142.0;-23.0;522.0;4.0
1509913727.461897;142.0;-23.0;522.0;7.0
1509913727.6539094;142.0;-23.0;522.0;10.0
1509913727.8545077;143.0;-23.0;523.0;13.0
1509913728.0691988;143.0;-23.0;523.0;16.0
1509913728.2735512;143.0;-179.0;523.0;19.0
1509913728.4563997;143.0;-179.0;523.0;21.0
1509913728.655724;143.0;-179.0;523.0;24.0
1509913728.874377;143.0;-179.0;523.0;27.0
1509913729.0749474;143.0;-179.0;523.0;30.0
1509913729.263856;143.0;-179.0;523.0;-32.0
1509913729.470307;143.0;-179.0;523.0;-29.0
1509913729.6653845;143.0;-179.0;523.0;-26.0
1509913729.8726149;144.0;-59.0;245.0;-23.0
1509913730.07321;144.0;-59.0;245.0;-20.0
1509913730.292849;144.0;-59.0;245.0;-17.0
1509913730.4635777;144.0;-59.0;245.0;-14.0
1509913730.667406;144.0;-59.0;245.0;-12.0
1509913730.8641126;144.0;-59.0;245.0;-9.0
1509913731.0844026;144.0;-59.0;245.0;-6.0
1509913731.264229;144.0;-59.0;245.0;-3.0
1509913731.4668274;144.0;225.0;245.0;0.0
